time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.12000000000000001,1.41066714097e-05,-9.87558517961e-06,10.0222806419,6.28193796823,6.28130945671,0.0,0.000604796960341,-0.000412062215418,0.37122283149,-0.0260803641387,-0.0402090805259,0.0,464.32906308155015,462.7494080337312,463.5650750460615,462.53950210948074
0.23999999999999996,0.00029797100001,-0.000211825021574,10.0706927415,6.27877715394,6.27905103697,0.0,0.00467613213067,-0.00358826593623,0.435591600491,-0.0267043180114,0.00734942492804,0.0,414.29794554489786,416.3829062758664,414.6625838557338,414.63498089205854
0.36000000000000004,0.00120160098362,-0.00114425682247,10.1469374137,6.2746477733,6.28268618448,0.0,0.00958413151035,-0.0129553617292,0.834679456328,-0.0458048683526,0.0581099828992,0.0,466.47667198621025,468.45450476839983,468.4251923252212,467.6815714818494
0.48000000000000015,0.00225520996915,-0.00349355618484,10.2587844231,6.27185170506,0.00525587769643,0.0,0.00664106879396,-0.026928435999,1.02908260652,0.00405450103036,0.0326779071067,0.0,438.23263906619985,437.17597631512575,434.91481197121806,436.9972334720548
0.6000000000000002,0.00249240853027,-0.00773025719418,10.4030941707,6.27446654043,0.00755739090302,0.0,-0.00333564022315,-0.0431283188778,1.37529693762,0.0439619053199,-0.00168393244374,0.0,460.897281770203,459.53757506058713,460.55866352222,462.13408398029367
0.7200000000000003,0.00137795254082,-0.0136174483264,10.5941246366,6.27987885349,0.00598776973095,0.0,-0.014895082779,-0.0535796515362,1.80726243641,0.0466862551923,-0.0304093354429,0.0,474.78296198732477,473.6798917298219,474.534063920907,474.6396423349513
0.8400000000000004,-0.000851261074966,-0.0202239331154,10.82834288,0.000798659430019,0.00191753949651,0.0,-0.02130787861,-0.0554777593724,2.09531509359,0.0150846292298,-0.0389510581831,0.0,455.32131819876935,454.97908527846033,453.5863429316341,452.3162200295699
0.9600000000000005,-0.00350268671066,-0.0267555286261,11.0947283139,0.00472139309805,0.000719022930588,0.0,-0.0224594811842,-0.0525703263224,2.3433951548,0.0547104693898,0.023961373334,0.0,447.6498960074217,450.2020445455188,448.12328778595014,449.73135405694086
1.0800000000000005,-0.0063208787578,-0.0324433877026,11.4027662571,0.0111155336233,0.00112896219015,0.0,-0.024757973827,-0.040554070725,2.78840036953,0.0512699395553,-0.03024495699,0.0,481.0071646120795,478.9503151751339,479.5182860556336,479.3892321779564
1.2000000000000006,-0.00930481008959,-0.0364080560239,11.7380821911,0.0169414330604,6.28041720433,0.0,-0.0242340522538,-0.0243895650175,2.80012171281,0.0446701277369,-0.035645705364,0.0,413.6123720758022,413.37399285929143,414.19126593542745,413.9025858171944
1.3200000000000007,-0.0118620371527,-0.0376002822082,12.0969058808,0.0248506358966,6.27715648853,0.0,-0.0175242291665,0.00635039147839,3.17809008298,0.0919015900757,-0.0159596256369,0.0,470.95712082805017,471.71765574660185,471.7662326782449,473.58911291381037
1.4400000000000008,-0.0136029753925,-0.0352289412608,12.4660626379,0.0346197501969,6.27824723636,0.0,-0.0115694125544,0.0347915064062,2.97567342879,0.0655854124077,0.0391039448951,0.0,376.0944458192003,378.7518818797301,379.53003256844147,378.27157724309006
1.560000000000001,-0.0146813266322,-0.0281472874433,12.8322572778,0.0401552211396,6.2812161224,0.0,-0.00712438478476,0.0845054600413,3.12663755977,0.0145703253577,0.00239093766954,0.0,438.95560576865626,437.4298108108962,438.76296429091633,436.64151150004216
1.680000000000001,-0.0153769097054,-0.0141769379886,13.2311227257,0.0418095380299,0.000354261010065,0.0,-0.0049654995607,0.148658394291,3.51861709983,0.0126819947597,0.0406757808815,0.0,474.8509878886692,476.3172353362436,476.4707258822378,476.3984090913114
1.8000000000000012,-0.0160898578563,0.007215230224,13.6672644358,0.0408126808038,0.00232083613128,0.0,-0.00751259859299,0.20770871542,3.74880435012,-0.0428257086087,-0.0247438054928,0.0,455.4638969287892,452.8403634718815,454.6655068537105,452.43628805083335
1.9200000000000013,-0.0171004612465,0.0353627500545,14.1284208252,0.0332790443389,6.27902722193,0.0,-0.00807704824544,0.259809330939,3.93581361106,-0.0952714519099,-0.105864085922,0.0,450.50448304277717,447.2097136431645,449.4544366805367,447.32069816611875
2.0400000000000014,-0.0175123134369,0.0688081961156,14.6045135253,0.0233224017574,6.26519108473,0.0,0.00394054242171,0.295532657252,3.99862897245,-0.0670972795377,-0.129411310799,0.0,430.8509896380756,429.8418336258942,428.932547727955,430.1212930491975
2.1600000000000015,-0.0151896766416,0.10603750676,15.097530146,0.0137935698171,6.24807048448,0.0,0.038519823865,0.322824857474,4.21656993385,-0.0982337647987,-0.16307881764,0.0,455.88786895291673,454.5219161114906,455.8152769024,454.56425448942815
2.2800000000000016,-0.00780217810031,0.145516766386,15.6020845057,0.00293532038393,6.22981102728,0.0,0.0880709839878,0.333085763943,4.1927573682,-0.0801951758177,-0.137967056397,0.0,417.75400782868013,418.82394210152694,416.810136111337,417.590199267852
2.4000000000000017,0.00642020031774,0.185502925584,16.0979995382,6.27700331152,6.21319037204,0.0,0.151872838924,0.331758802526,4.0732755757,-0.0702449443722,-0.139260280469,0.0,400.98303770853005,400.90421444625053,401.0997575862983,401.5461330701421
2.520000000000002,0.0310987686122,0.224562005686,16.6030940753,6.26766333359,6.1976105563,0.0,0.262975015463,0.3170964807,4.34248757607,-0.0890317290047,-0.117451700679,0.0,464.1204153816166,464.96077137326483,464.13375525827644,463.39127739859686
